avg_salary_usd,experience_required_years,task_repetition_level,creativity_requirement,physical_labor_level,analytical_complexity,social_interaction_level,ai_tool_maturity_score,percent_tasks_automatable,job_growth_rate,skill_complexity_score,regulation_strictness_level,ethical_risk_level,communication_requirement,domain_specific_knowledge_level,team_collaboration_level,ai_dependency_current,ai_dependency_future,training_hours_needed,job_demand_index,automation_risk,industry_Construction,industry_Education,industry_Energy,industry_Finance,industry_Healthcare,industry_Legal,industry_Manufacturing,industry_Marketing,industry_Retail,industry_Tech,education_level_Bachelor,education_level_High School,education_level_Master,education_level_PhD,ai_tool_availability_AutoGPT,ai_tool_availability_ChatGPT,ai_tool_availability_Claude,ai_tool_availability_Copilot,ai_tool_availability_Gemini,ai_tool_availability_Midjourney
79768,0,0.5478708106372198,0.3424999930081374,0.3804444517659612,0.654976323062026,0.2588303100692805,0.9459822674873012,0.7296109659769422,-0.0924631211208994,0.2360991900089317,0.6809291569366148,0.8036490630604574,0.7214629700191383,0.3862946037345903,0.7073382523289572,0.3793483556906142,0.3960584106940262,317,0.3054255554208542,0.7454619956580701,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
78128,11,0.0239613851242698,0.0768494618612342,0.0565146243880623,0.061107078468933,0.7487438516644832,0.3244075078147799,0.5046842334993359,-0.0725483440130086,0.0373724093573125,0.8815634021211409,0.0913224400533084,0.0499903029930833,0.4983839134807134,0.5061521972147519,0.6120595985723585,0.6712604873959325,21,0.0104983025242403,0.4194426079056824,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
113123,6,0.7642204838423086,0.3929444393733599,0.6776737747680467,0.436736677794641,0.1639621188180747,0.3475073741499682,0.5934491519510722,0.00840673186462,0.4722684611433695,0.7306118412886762,0.8749782543465391,0.2035177884938355,0.1605827019196087,0.5306577890780703,0.9262168891690384,0.6653437832028017,55,0.1655253733652166,0.5631079176345221,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
138255,2,0.5809138982462784,0.6699263421613231,0.3282017505376174,0.9131087869195494,0.8466320532930678,0.870638364133171,0.9276835983463564,0.0076961630306734,0.3824088584867783,0.9523443218306524,0.6805600013304228,0.6212118928298676,0.1961967164802681,0.4499463531089096,0.8909834761550145,0.3090241617337166,146,0.7247312715297911,0.80121337611943,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
33174,5,0.6255895834697527,0.4698899080414396,0.4677762649860347,0.791284828925401,0.1319039388308008,0.1290433628754932,0.3937825222696774,0.1430761726567228,0.8358861003150726,0.886245740636963,0.9270723169184654,0.4774695117128184,0.6020686234555838,0.5848467030993998,0.1696673152712657,0.1889849067054981,310,0.0044241595481049,0.2530714443031213,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
147769,6,0.0517208825546534,0.3837221747194544,0.6817284370551343,0.3054375022948572,0.0352444490701563,0.108068749646061,0.1018437154860902,0.0164875084744418,0.6818675585264362,0.8552491781696736,0.8955104002489052,0.6046229799604435,0.6270044639405655,0.2296763559317721,0.6105078952728283,0.1313243584450247,301,0.5230554950436641,0.4129025481865097,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
65398,0,0.2110383302086154,0.1191570455404648,0.9117745470241428,0.924805479191647,0.3950454189696678,0.2827077840845025,0.3258262417030714,0.0695169268671233,0.1442859348560816,0.3915481298170101,0.3802620355687323,0.0889690428304591,0.3416069320780254,0.2075157998273193,0.0980178325401504,0.1137786275721123,146,0.4139861510286046,0.7295573162382514,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
165393,0,0.0743308723535801,0.2449390456936563,0.8254369156049984,0.3296464967477248,0.9794416419712952,0.5916359232744598,0.4152002147362864,0.0230502504283359,0.9871551404272688,0.3862123366889145,0.8568325218693683,0.6524225581047394,0.3740281879865179,0.9419644353617618,0.293878891484604,0.817699804243922,106,0.122870790647899,0.9184277572298676,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
153549,12,0.2889143158038117,0.1001432877383511,0.4505971291035998,0.0725154963375624,0.1103422277887772,0.384300160110138,0.2729638698604882,-0.0325203752717933,0.7706407330017554,0.7412028398422075,0.5630160720193349,0.8036162570396713,0.5062285295362654,0.4504094042905102,0.5972702621240037,0.2861496334051344,433,0.685634283884137,0.2902997614949412,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
102635,4,0.627439007682151,0.8074987316566608,0.3877831574463789,0.9940559567681136,0.101718444039629,0.6085544808356751,0.5289724052500503,-0.0736372337213499,0.7202375156836864,0.0837490062477783,0.1571143163666594,0.5462751829976551,0.9397924095792024,0.8271758089864095,0.0813647514986236,0.6785419158556603,171,0.6931238648475063,0.6227229443964397,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
53760,5,0.5661859843173752,0.1352398279847225,0.2397797388440474,0.8700225271891717,0.7511665107956239,0.1597506310444346,0.3048578751460773,0.1147685040224742,0.2166155826071407,0.3222144546310911,0.8295508633912837,0.3574070186910694,0.1496566340441109,0.9168317523624688,0.8888620604615741,0.287424486055429,97,0.7263485415024217,0.9512139588594256,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
172432,14,0.6121498216133903,0.5953733665488935,0.3724267511759682,0.4659327833010923,0.3121616939935653,0.261450848767347,0.1031795853823825,-0.0618343263911937,0.905156600616232,0.9322238378405712,0.907919758640269,0.1746478569140376,0.5515278112678703,0.614883404701099,0.8289886505348362,0.6667565015153543,62,0.7653075502427034,0.6488521890409563,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
